2025-10-13T02:19:28.755710,email,Twilio SendGrid Support <support@twiliosendgrid.zendesk.com>,"## In replies all text above this line is added to the ticket ##

Hello Guzotravelassist,

I am reaching out to let you know this ticket 23356450 will now be closed. If you are just noticing this communication or have additional questions related to the information provided, please reply directly to this message. Once you reply to this email the ticket will automatically re-open and we will be able to pick up exactly where we left off.



Sincerely,
Alice
Twilio SendGrid Technical Support 




--------------------------------
This email is a service from SendGrid.









[7J1XEN-LNE79]"
2025-10-13T02:19:29.389658,email,Twilio SendGrid Support <support@twiliosendgrid.zendesk.com>,"## In replies all text above this line is added to the ticket ##

Hello Guzotravelassist,

We'd love to hear what you think of our customer support on this ticket. Please take a moment to answer our survey below and tell us how we can improve:

<h3>How satisfied were you overall with your interaction with support?</h3>
<br><a href=""https://surveys.twilio.com/jfe/form/SV_3k1YpVwseXBcuCp?overall_csat=5&ticket_id=23356450&group=Support (CS)&brand=SendGrid&channel=Web Form&product=Account Administration&email_product=-"" target=""_blank""><img src=""https://scarlet-anteater-2261.twil.io/assets/5%20green%20extra%20happy.png"" alt=""Very Satisfied"" style=""width:32px;height:32px;"">Very Satisfied</a>
<br><a href=""https://surveys.twilio.com/jfe/form/SV_3k1YpVwseXBcuCp?overall_csat=4&ticket_id=23356450&group=Support (CS)&brand=SendGrid&channel=Web Form&product=Account Administration&email_product=-"" target=""_blank""><img src=""https://scarlet-anteater-2261.twil.io/assets/4%20yellow%20less%20happy.png"" alt=""Satisfied"" style=""width:32px;height:32px;"">Satisfied</a>
<br><a href=""https://surveys.twilio.com/jfe/form/SV_3k1YpVwseXBcuCp?overall_csat=3&ticket_id=23356450&group=Support (CS)&brand=SendGrid&channel=Web Form&product=Account Administration&email_product=-"" target=""_blank""><img src=""https://scarlet-anteater-2261.twil.io/assets/3%20mustard%20blank.png"" alt=""Neither Satisfied nor Dissatisfied"" style=""width:32px;height:32px;"">Neither Satisfied nor Dissatisfied</a>
<br><a href=""https://surveys.twilio.com/jfe/form/SV_3k1YpVwseXBcuCp?overall_csat=2&ticket_id=23356450&group=Support (CS)&brand=SendGrid&channel=Web Form&product=Account Administration&email_product=-"" target=""_blank""><img src=""https://scarlet-anteater-2261.twil.io/assets/2%20orange%20less%20sad.png"" alt=""Dissatisfied"" style=""width:32px;height:32px;"">Dissatisfied</a>
<br><a href=""https://surveys.twilio.com/jfe/form/SV_3k1YpVwseXBcuCp?overall_csat=1&ticket_id=23356450&group=Support (CS)&brand=SendGrid&channel=Web Form&product=Account Administration&email_product=-"" target=""_blank""><img src=""https://scarlet-anteater-2261.twil.io/assets/1%20red%20extra%20sad.png"" alt=""Very Dissatisfied"" style=""width:32px;height:32px;"">Very Dissatisfied</a>
<br>

Here's a reminder of what your ticket was about:

----------------------------------------------

Alice, Sep 30, 2025, 9:11 PM PDT

Hi Gedam,

I hope this email finds you well.

Thank you for reaching out to Twilio Support, my name is Alice. I'm sorry to hear you're experiencing issues accessing your account and understand this can be frustrating. Rest assured, I am here to help you access your account.

I found you have an existing Twilio SendGrid account linked to your email. Please note that your username will be your **email address** when you log in.

**If you're having trouble logging in:**

You can access your account via our SendGrid login page by entering your email address as a your username. This will redirect you to finish your login on our Twilio login page. If you need to reset your password, just click ""forgot password"" after entering your email address.

**If you're having trouble accepting a SendGrid account invitation:**

1. Ask your colleague to resend the SendGrid account invitation (if it's since expired).
2. Go to your email and accept the invitation.
3. When you hit the Twilio signup page, please scroll down a bit select the **Log In** option under the Continue button.
 ![](https://support.twilio.com/attachments/token/xHniCYocHEjngGrFTGEAloqjG/?name=log-in-button.png)
Furthermore, I truly understand how important this issue is to you, and I want to ensure we resolve it as quickly as possible. I will move this case to “Pending” while I await your response. Please take your time to gather any required information. If I don’t hear back from you, the case will automatically close. Rest assured, you'll receive friendly reminders along the way to keep us on track. Your satisfaction is our top priority, so don't hesitate to reach out with any questions or updates.

Take care always!

Sincerely,
Alice | Twilio Support

----------------------------------------------

Guzotravelassist, Sep 30, 2025, 9:08 PM PDT

yes of course!  nahom2natanim@gmail.com

----------------------------------------------

Alice, Sep 30, 2025, 7:01 PM PDT

Hi there,

I hope this email finds you well.

Thank you for reaching out to Twilio Support, my name is Alice. I'm sorry to hear you're experiencing issues accessing your account and understand this can be frustrating. Rest assured, I am here to help you locate your account.

I have taken a look in our database in order to identify your account and regrettably, we were not able to find an account associated with the email **(****guzotravelassist@gmail.com****)**. Can you please provide another email address that may have been used when you created your SendGrid account? Additionally, if you are charged by SendGrid, you can find the username or account number in the invoice.

Furthermore, I truly understand how important this issue is to you, and I want to ensure we resolve it as quickly as possible. I will move this case to “Pending” while I await your response. Please take your time to gather any required information. If I don’t hear back from you, the case will automatically close. Rest assured, you'll receive friendly reminders along the way to keep us on track. Your satisfaction is our top priority, so don't hesitate to reach out with any questions or updates.

Take care always!

Sincerely,
Alice | Twilio Support

----------------------------------------------

Guzotravelassist, Sep 30, 2025, 6:31 PM PDT

  My account email is `guzotravelassist@gmail.com 

and I can’t log in

`

----------------------------------------------

Guzotravelassist, Sep 30, 2025, 6:23 PM PDT

Hello!

I've unfortunately forgotten my username. You can reach back out to me at guzotravelassist@gmail.com.

The email address associated with my account should be `gedam_ka@yahoo.com`.

I am the parent/primary user.

Thanks!

--------------------------------
This email is a service from SendGrid.









[7J1XEN-LNE79]"
2025-10-13T02:19:30.517537,email,Google <no-reply@accounts.google.com>,"[image: Google]
App password created to sign in to your account


guzotravelassist@gmail.com
If you didn't generate this password for GuzoGuestAssist, someone might be
using your account. Check and secure your account now.
Check activity
<https://accounts.google.com/AccountChooser?Email=guzotravelassist@gmail.com&continue=https://myaccount.google.com/alert/nt/1759929729240?rfn%3D20%26rfnc%3D1%26eid%3D5943922856590080738%26et%3D0>
You can also see security activity at
https://myaccount.google.com/notifications
You received this email to let you know about important changes to your
Google Account and services.
© 2025 Google LLC, 1600 Amphitheatre Parkway, Mountain View, CA 94043, USA
"
2025-10-13T02:19:31.654775,email,Google <no-reply@accounts.google.com>,"[image: Google]
App password created to sign in to your account


guzotravelassist@gmail.com
If you didn't generate this password for Guzo_Guest_Credential, someone
might be using your account. Check and secure your account now.
Check activity
<https://accounts.google.com/AccountChooser?Email=guzotravelassist@gmail.com&continue=https://myaccount.google.com/alert/nt/1760335229214?rfn%3D20%26rfnc%3D1%26eid%3D-1642953024776690932%26et%3D0>
You can also see security activity at
https://myaccount.google.com/notifications
You received this email to let you know about important changes to your
Google Account and services.
© 2025 Google LLC, 1600 Amphitheatre Parkway, Mountain View, CA 94043, USA
"
2025-10-13T02:27:34.153186,sms,+6177750611,hi Wifey! i hope you are in your deep sleep 
2025-10-13T02:33:01.945859,sms,+16177750611,"Hi Wifey , Its lovely sleep for to night "
2025-10-13T02:39:15.181902,sms,+6177750611,Hi Guzo! Please book one double room for tomorrow.
2025-10-13T02:43:47.074140,sms,+251913228946,Hi Guzo! Please confirm booking.
2025-10-13T19:39:04.606647,sms,whatsapp:+251987006170,Hi Guzo! Please confirm my hotel booking for tomorrow.
2025-10-13T19:49:40.911500,sms,whatsapp:+251987006170,Hi Guzo! Please confirm my hotel booking for tomorrow.
